chapter,label,type,x,y,notes
1,Kim Barker,person,7,3,"Shortly after August 15th 2021, Kim Barker starts to assemsble a group to help with efforts in ensuring the safe travel of Afghan journalists. Kim Barker is a journalist who authored The Taliban Shuffle: Strange Days in Afghanistan and Pakistan about her experiences covering the war in Afghanistan. She is supported by Scott Shadian, Luke Mogulson, and Senator Blumenthal."
2,Scott Shadian,person,7,1,"Scott is a governance, stabilization, and communications specialist with a decade of experience in countering violent extremism and disinformation. Having worked for more than fifteen years in conflict-affected environments, in both the public and private sectors, Scott has unique insight into how mainstream media and digital platforms – as well as non-traditional means of communication – relate to development and stabilization activities."
3,Blumenthal,person,8,2,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec sollicitudin feugiat varius. Vivamus vitae mattis tortor. Aliquam interdum lectus lacus, non egestas erat tincidunt sed. Cras non purus elementum, feugiat nunc in, porttitor nisl. Nulla egestas tortor ac arcu hendrerit ultrices. Mauris purus sem, fermentum id sollicitudin sed, sagittis ac lectus. Ut posuere nibh non tortor pulvinar, sit amet consequat mi malesuada."
4,Luke Mogulson,person,6,2,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec sollicitudin feugiat varius. Vivamus vitae mattis tortor. Aliquam interdum lectus lacus, non egestas erat tincidunt sed. Cras non purus elementum, feugiat nunc in, porttitor nisl. Nulla egestas tortor ac arcu hendrerit ultrices. Mauris purus sem, fermentum id sollicitudin sed, sagittis ac lectus. Ut posuere nibh non tortor pulvinar, sit amet consequat mi malesuada."
5,Elizabeth Rubin,person,9,3,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec sollicitudin feugiat varius. Vivamus vitae mattis tortor. Aliquam interdum lectus lacus, non egestas erat tincidunt sed. Cras non purus elementum, feugiat nunc in, porttitor nisl. Nulla egestas tortor ac arcu hendrerit ultrices. Mauris purus sem, fermentum id sollicitudin sed, sagittis ac lectus. Ut posuere nibh non tortor pulvinar, sit amet consequat mi malesuada."
6,Ilaha Eli Omar,person,8,4,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec sollicitudin feugiat varius. Vivamus vitae mattis tortor. Aliquam interdum lectus lacus, non egestas erat tincidunt sed. Cras non purus elementum, feugiat nunc in, porttitor nisl. Nulla egestas tortor ac arcu hendrerit ultrices. Mauris purus sem, fermentum id sollicitudin sed, sagittis ac lectus. Ut posuere nibh non tortor pulvinar, sit amet consequat mi malesuada."
7,Hazami,person,7,5,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec sollicitudin feugiat varius. Vivamus vitae mattis tortor. Aliquam interdum lectus lacus, non egestas erat tincidunt sed. Cras non purus elementum, feugiat nunc in, porttitor nisl. Nulla egestas tortor ac arcu hendrerit ultrices. Mauris purus sem, fermentum id sollicitudin sed, sagittis ac lectus. Ut posuere nibh non tortor pulvinar, sit amet consequat mi malesuada."
8,9 other journalists,person,5,5,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec sollicitudin feugiat varius. Vivamus vitae mattis tortor. Aliquam interdum lectus lacus, non egestas erat tincidunt sed. Cras non purus elementum, feugiat nunc in, porttitor nisl. Nulla egestas tortor ac arcu hendrerit ultrices. Mauris purus sem, fermentum id sollicitudin sed, sagittis ac lectus. Ut posuere nibh non tortor pulvinar, sit amet consequat mi malesuada."
9,Journalists and Humanitarians outside of afganistan,group,5,0,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec sollicitudin feugiat varius. Vivamus vitae mattis tortor. Aliquam interdum lectus lacus, non egestas erat tincidunt sed. Cras non purus elementum, feugiat nunc in, porttitor nisl. Nulla egestas tortor ac arcu hendrerit ultrices. Mauris purus sem, fermentum id sollicitudin sed, sagittis ac lectus. Ut posuere nibh non tortor pulvinar, sit amet consequat mi malesuada."
10,Funding,entity,5,3,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec sollicitudin feugiat varius. Vivamus vitae mattis tortor. Aliquam interdum lectus lacus, non egestas erat tincidunt sed. Cras non purus elementum, feugiat nunc in, porttitor nisl. Nulla egestas tortor ac arcu hendrerit ultrices. Mauris purus sem, fermentum id sollicitudin sed, sagittis ac lectus. Ut posuere nibh non tortor pulvinar, sit amet consequat mi malesuada."
